Test name	Type	timeMin	ReqCou	GrCou	Max TP	softOR	StWdsFlt	TruePositive	Precision	Recall	Accuracy	Error	F-measure	APres@5	APres@10	APres@20	APres@50	AveragePres	nDCG@5	nDCG@10	nDCG@20	nDCG@50	nDCG	MRR
Что может помешать выплатить мне кредит досрочно?	InfoSearch&W2V(stopW+max)	2.74	7929	289	273	0,4	False	273	0.9446	1.0	0.9994	0.0006	0.9715	1.0	1.0	0.8777	0.915	0.9095	1.0	1.0	0.9296	0.9616	0.9493	1.0

Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch	0.59	2906	130	124	0,3	True	124	0.9538	1.0	0.9998	0.0002	0.9764	1.0	1.0	1.0	0.9692	0.93	1.0	1.0	1.0	0.9842	0.9616	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(avg)	1.23	2906	130	124	0,3	True	124	0.9538	1.0	0.9998	0.0002	0.9764	1.0	0.8521	0.8289	0.8431	0.8882	1.0	0.9216	0.913	0.922	0.9477	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(avg10)	1.22	2906	130	124	0,3	True	124	0.9538	1.0	0.9998	0.0002	0.9764	1.0	1.0	1.0	0.9699	0.9374	1.0	1.0	1.0	0.9844	0.963	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(max)	1.23	2906	130	124	0,3	True	124	0.9538	1.0	0.9998	0.0002	0.9764	1.0	1.0	1.0	0.9783	0.934	1.0	1.0	1.0	0.986	0.9626	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(stopW+avg)	1.06	2906	130	124	0,3	True	124	0.9538	1.0	0.9998	0.0002	0.9764	1.0	1.0	0.8675	0.8766	0.8946	1.0	1.0	0.9269	0.9429	0.9516	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(stopW+max)	1.48	2906	130	124	0,3	True	124	0.9538	1.0	0.9998	0.0002	0.9764	1.0	1.0	1.0	1.0	0.9318	1.0	1.0	1.0	1.0	0.9622	1.0

Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch	0.18	665	18	124	0,3	False	10	0.5556	0.0806	0.9954	0.0046	0.1408	0.4533	0.483	0.3324	0.1329	0.3693	0.6399	0.688	0	0	0.5896	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(avg)	0.33	665	18	124	0,3	False	10	0.5556	0.0806	0.9954	0.0046	0.1408	0.2	0.2706	0.2717	0.1087	0.3019	0.3392	0.5017	0	0	0.5392	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(avg10)	0.32	665	18	124	0,3	False	10	0.5556	0.0806	0.9954	0.0046	0.1408	0.4533	0.5175	0.362	0.1448	0.4023	0.6399	0.7027	0	0	0.605	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(max)	0.32	665	18	124	0,3	False	10	0.5556	0.0806	0.9954	0.0046	0.1408	0.6433	0.48	0.3462	0.1385	0.3846	0.786	0.6579	0	0	0.6035	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(stopW+avg)	0.32	665	18	124	0,3	False	10	0.5556	0.0806	0.9954	0.0046	0.1408	0.4533	0.3463	0.3137	0.1255	0.3486	0.6399	0.5581	0	0	0.5802	1.0
Собираюсь взять кредит, но ничего об этом не знаю. Какие документы нужны?	InfoSearch&W2V(stopW+max)	0.4	665	18	124	0,3	False	10	0.5556	0.0806	0.9954	0.0046	0.1408	0.71	0.594	0.3763	0.1505	0.4181	0.8304	0.7543	0	0	0.6301	1.0

Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch	0.1	135	1	5	0,3	True	0	0.0	0.0	0.9998	0.0002	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(avg)	0.17	135	1	5	0,3	True	0	0.0	0.0	0.9998	0.0002	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(avg10)	0.17	135	1	5	0,3	True	0	0.0	0.0	0.9998	0.0002	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(max)	0.17	135	1	5	0,3	True	0	0.0	0.0	0.9998	0.0002	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(stopW+avg)	0.19	135	1	5	0,3	True	0	0.0	0.0	0.9998	0.0002	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(stopW+max)	0.21	135	1	5	0,3	True	0	0.0	0.0	0.9998	0.0002	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0

Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch	0.31	917	25	5	0,3	False	5	0.2	1.0	0.9992	0.0008	0.3333	0.8	0.4	0.2179	0.0871	0.1743	0.8688	0.5638	0.4002	0	0.3465	1.0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(avg)	0.87	917	25	5	0,3	False	5	0.2	1.0	0.9992	0.0008	0.3333	0.6	0.4167	0.2083	0.0833	0.1667	0.7227	0.611	0.3943	0	0.3414	1.0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(avg10)	0.88	917	25	5	0,3	False	5	0.2	1.0	0.9992	0.0008	0.3333	0.6	0.3	0.1799	0.072	0.1439	0.7227	0.469	0.3738	0	0.3236	1.0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(max)	0.88	917	25	5	0,3	False	5	0.2	1.0	0.9992	0.0008	0.3333	0.0	0.0365	0.0507	0.0203	0.0405	0.0	0.1396	0.1901	0	0.1645	0.1429
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(stopW+avg)	0.65	917	25	5	0,3	False	5	0.2	1.0	0.9992	0.0008	0.3333	0.55	0.315	0.1767	0.0707	0.1414	0.6992	0.5174	0.3712	0	0.3214	1.0
Здравствуйте. У меня ипотека, кредит на машину и ещё два потребительских кредита. Все почти заканчиваются, но сейчас у меня понизилась заработная плата. Может ли Ваш банк дать мне кредит, для погашения кредитов в других банках, в том числе и в вашем.	InfoSearch&W2V(stopW+max)	0.94	917	25	5	0,3	False	5	0.2	1.0	0.9992	0.0008	0.3333	0.3333	0.1667	0.1033	0.0461	0.0921	0.5087	0.3301	0.2806	0	0.2705	1.0

как рассчитываются проценты по вкладу	InfoSearch	0.07	84	10	54	0	True	0	0.0	0.0	0.9976	0.0024	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0
как рассчитываются проценты по вкладу	InfoSearch&W2V(avg)	0.11	84	10	54	0	True	0	0.0	0.0	0.9976	0.0024	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0
как рассчитываются проценты по вкладу	InfoSearch&W2V(avg10)	0.1	84	10	54	0	True	0	0.0	0.0	0.9976	0.0024	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0
как рассчитываются проценты по вкладу	InfoSearch&W2V(max)	0.1	84	10	54	0	True	0	0.0	0.0	0.9976	0.0024	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0
как рассчитываются проценты по вкладу	InfoSearch&W2V(stopW+avg)	0.12	84	10	54	0	True	0	0.0	0.0	0.9976	0.0024	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0
как рассчитываются проценты по вкладу	InfoSearch&W2V(stopW+max)	0.13	84	10	54	0	True	0	0.0	0.0	0.9976	0.0024	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0

как рассчитываются проценты по вкладу	InfoSearch	1.59	8144	264	54	0,4	True	54	0.2045	1.0	0.992	0.008	0.3396	0.0	0.0	0.0	0.0	0.0298	0.0	0.0	0.0	0.0	0.1708	0.0099
как рассчитываются проценты по вкладу	InfoSearch&W2V(avg)	2.04	8144	264	54	0,4	True	54	0.2045	1.0	0.992	0.008	0.3396	0.1667	0.1778	0.1473	0.1651	0.0698	0.3156	0.3495	0.3315	0.3798	0.2289	0.3333
как рассчитываются проценты по вкладу	InfoSearch&W2V(avg10)	2.02	8144	264	54	0,4	True	54	0.2045	1.0	0.992	0.008	0.3396	0.0	0.0125	0.0193	0.0431	0.0454	0.0	0.0694	0.1106	0.1917	0.1972	0.125
как рассчитываются проценты по вкладу	InfoSearch&W2V(max)	2.01	8144	264	54	0,4	True	54	0.2045	1.0	0.992	0.008	0.3396	0.0	0.0167	0.0083	0.0057	0.0412	0.0	0.0784	0.0506	0.0564	0.1896	0.1667
как рассчитываются проценты по вкладу	InfoSearch&W2V(stopW+avg)	1.9	8144	264	54	0,4	True	54	0.2045	1.0	0.992	0.008	0.3396	0.1	0.2317	0.2198	0.2326	0.0802	0.214	0.4263	0.4202	0.4571	0.2383	0.5
как рассчитываются проценты по вкладу	InfoSearch&W2V(stopW+max)	2.14	8144	264	54	0,4	True	54	0.2045	1.0	0.992	0.008	0.3396	0.1667	0.1567	0.1447	0.0655	0.0532	0.3156	0.3347	0.327	0.1959	0.2134	0.3333

как рассчитываются проценты по вкладу	InfoSearch	0.38	1737	122	54	0,2	False	14	0.1148	0.2593	0.9944	0.0056	0.1591	0.0	0.0	0.0029	0.0115	0.0139	0.0	0.0	0.0341	0.0932	0.1031	0.0588
как рассчитываются проценты по вкладу	InfoSearch&W2V(avg)	0.61	1737	122	54	0,2	False	14	0.1148	0.2593	0.9944	0.0056	0.1591	0.1	0.1161	0.1067	0.0705	0.0321	0.214	0.2817	0.2883	0.2344	0.1438	0.5
как рассчитываются проценты по вкладу	InfoSearch&W2V(avg10)	0.63	1737	122	54	0,2	False	14	0.1148	0.2593	0.9944	0.0056	0.1591	0.0	0.0167	0.0374	0.0356	0.0203	0.0	0.0784	0.1577	0.1625	0.1189	0.1667
как рассчитываются проценты по вкладу	InfoSearch&W2V(max)	0.63	1737	122	54	0,2	False	14	0.1148	0.2593	0.9944	0.0056	0.1591	0.04	0.02	0.01	0.008	0.0145	0.1312	0.0851	0.0549	0.0725	0.1067	0.2
как рассчитываются проценты по вкладу	InfoSearch&W2V(stopW+avg)	0.57	1737	122	54	0,2	False	14	0.1148	0.2593	0.9944	0.0056	0.1591	0.0667	0.1442	0.141	0.0813	0.0368	0.1696	0.3215	0.3195	0.2369	0.1454	0.3333
как рассчитываются проценты по вкладу	InfoSearch&W2V(stopW+max)	0.7	1737	122	54	0,2	False	14	0.1148	0.2593	0.9944	0.0056	0.1591	0.0	0.0167	0.0083	0.0055	0.0132	0.0	0.0784	0.0506	0.0557	0.1035	0.1667

как закрыть вклад	InfoSearch	0.97	4812	47	14	0	True	14	0.2979	1.0	0.9987	0.0013	0.459	0.8	0.6164	0.3627	0.1787	0.1901	0.8688	0.7702	0.5672	0	0.4009	1.0
как закрыть вклад	InfoSearch&W2V(avg)	1.06	4812	47	14	0	True	14	0.2979	1.0	0.9987	0.0013	0.459	0.32	0.4431	0.3051	0.1539	0.1638	0.4913	0.6036	0.4938	0	0.3457	0.5
как закрыть вклад	InfoSearch&W2V(avg10)	1.06	4812	47	14	0	True	14	0.2979	1.0	0.9987	0.0013	0.459	0.3333	0.2595	0.1579	0.1181	0.1257	0.5087	0.4729	0.3704	0	0.3422	1.0
как закрыть вклад	InfoSearch&W2V(max)	1.05	4812	47	14	0	True	14	0.2979	1.0	0.9987	0.0013	0.459	0.8	0.4833	0.3181	0.1778	0.1892	0.8688	0.6422	0.5248	0	0.3999	1.0
как закрыть вклад	InfoSearch&W2V(stopW+avg)	1.07	4812	47	14	0	True	14	0.2979	1.0	0.9987	0.0013	0.459	0.2867	0.21	0.2283	0.1338	0.1424	0.4469	0.3684	0.4207	0	0.3229	0.3333
как закрыть вклад	InfoSearch&W2V(stopW+max)	1.11	4812	47	14	0	True	14	0.2979	1.0	0.9987	0.0013	0.459	0.8	0.6164	0.364	0.1834	0.1952	0.8688	0.7702	0.5678	0	0.4038	1.0

как закрыть вклад	InfoSearch	0.14	454	20	14	0	False	7	0.35	0.5	0.9992	0.0008	0.4118	0.76	0.5025	0.2762	0.1105	0.2762	0.8539	0.6872	0.4798	0	0.4798	1.0
как закрыть вклад	InfoSearch&W2V(avg)	0.2	454	20	14	0	False	7	0.35	0.5	0.9992	0.0008	0.4118	0.76	0.5114	0.279	0.1116	0.279	0.8539	0.6911	0.4815	0	0.4815	1.0
как закрыть вклад	InfoSearch&W2V(avg10)	0.2	454	20	14	0	False	7	0.35	0.5	0.9992	0.0008	0.4118	0.3333	0.24	0.1864	0.0746	0.1864	0.5087	0.46	0.4079	0	0.4079	1.0
как закрыть вклад	InfoSearch&W2V(max)	0.2	454	20	14	0	False	7	0.35	0.5	0.9992	0.0008	0.4118	0.76	0.5025	0.2762	0.1105	0.2762	0.8539	0.6872	0.4798	0	0.4798	1.0
как закрыть вклад	InfoSearch&W2V(stopW+avg)	0.22	454	20	14	0	False	7	0.35	0.5	0.9992	0.0008	0.4118	0.4833	0.4239	0.2411	0.0964	0.2411	0.6548	0.6332	0.447	0	0.447	1.0
как закрыть вклад	InfoSearch&W2V(stopW+max)	0.25	454	20	14	0	False	7	0.35	0.5	0.9992	0.0008	0.4118	0.76	0.5025	0.2762	0.1105	0.2762	0.8539	0.6872	0.4798	0	0.4798	1.0

что делать, если просрочил платеж по кредиту?	InfoSearch	0.06	23	12	243	0	True	12	1.0	0.0494	0.9912	0.0088	0.0941	1.0	1.0	0.6	0.24	1.0	1.0	1.0	0	0	1.0	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(avg)	0.11	23	12	243	0	True	12	1.0	0.0494	0.9912	0.0088	0.0941	1.0	1.0	0.6	0.24	1.0	1.0	1.0	0	0	1.0	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(avg10)	0.11	23	12	243	0	True	12	1.0	0.0494	0.9912	0.0088	0.0941	1.0	1.0	0.6	0.24	1.0	1.0	1.0	0	0	1.0	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(max)	0.11	23	12	243	0	True	12	1.0	0.0494	0.9912	0.0088	0.0941	1.0	1.0	0.6	0.24	1.0	1.0	1.0	0	0	1.0	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(stopW+avg)	0.13	23	12	243	0	True	12	1.0	0.0494	0.9912	0.0088	0.0941	1.0	1.0	0.6	0.24	1.0	1.0	1.0	0	0	1.0	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(stopW+max)	0.15	23	12	243	0	True	12	1.0	0.0494	0.9912	0.0088	0.0941	1.0	1.0	0.6	0.24	1.0	1.0	1.0	0	0	1.0	1.0

что делать, если просрочил платеж по кредиту?	InfoSearch	1.78	8960	282	243	0,4	True	117	0.4149	0.4815	0.9889	0.0111	0.4457	1.0	1.0	0.7764	0.4952	0.2287	1.0	1.0	0.8614	0.6708	0.4618	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(avg)	2.43	8960	282	243	0,4	True	117	0.4149	0.4815	0.9889	0.0111	0.4457	0.2333	0.2738	0.327	0.3117	0.2237	0.3836	0.4643	0.5428	0.5367	0.4369	0.5
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(avg10)	2.4	8960	282	243	0,4	True	117	0.4149	0.4815	0.9889	0.0111	0.4457	0.5433	0.4798	0.3755	0.2898	0.2203	0.6608	0.6321	0.5541	0.5116	0.4393	0.5
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(max)	2.41	8960	282	243	0,4	True	117	0.4149	0.4815	0.9889	0.0111	0.4457	1.0	1.0	0.7216	0.5104	0.2622	1.0	1.0	0.825	0.7042	0.4732	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(stopW+avg)	2.15	8960	282	243	0,4	True	117	0.4149	0.4815	0.9889	0.0111	0.4457	0.5433	0.5107	0.3782	0.313	0.2079	0.6608	0.6442	0.5571	0.5314	0.4357	0.5
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(stopW+max)	2.44	8960	282	243	0,4	True	117	0.4149	0.4815	0.9889	0.0111	0.4457	1.0	1.0	0.83	0.4936	0.2419	1.0	1.0	0.8966	0.6704	0.4668	1.0

что делать, если просрочил платеж по кредиту?	InfoSearch	5.08	24631	938	243	0,4	False	243	0.2591	1.0	0.9735	0.0265	0.4115	1.0	1.0	0.655	0.5174	0.1216	1.0	1.0	0.7845	0.7152	0.3013	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(avg)	7.51	24631	938	243	0,4	False	243	0.2591	1.0	0.9735	0.0265	0.4115	0.2867	0.3089	0.2644	0.2116	0.0989	0.4469	0.4893	0.4572	0.4186	0.2798	0.3333
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(avg10)	7.39	24631	938	243	0,4	False	243	0.2591	1.0	0.9735	0.0265	0.4115	0.32	0.4348	0.4201	0.2883	0.0968	0.4913	0.6004	0.5999	0.4939	0.2813	0.5
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(max)	7.35	24631	938	243	0,4	False	243	0.2591	1.0	0.9735	0.0265	0.4115	1.0	1.0	0.802	0.4634	0.1161	1.0	1.0	0.889	0.6403	0.2987	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(stopW+avg)	6.35	24631	938	243	0,4	False	243	0.2591	1.0	0.9735	0.0265	0.4115	0.1467	0.3796	0.4075	0.3033	0.1018	0.3008	0.5463	0.5699	0.4949	0.2825	0.3333
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(stopW+max)	7.53	24631	938	243	0,4	False	243	0.2591	1.0	0.9735	0.0265	0.4115	1.0	1.0	0.8685	0.6129	0.124	1.0	1.0	0.9272	0.7639	0.3029	1.0

что делать, если просрочил платеж по кредиту?	InfoSearch	1.05	4622	122	243	0,2	False	69	0.5656	0.284	0.9914	0.0086	0.3781	1.0	1.0	0.6916	0.5272	0.3971	1.0	1.0	0.8165	0.7182	0.6175	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(avg)	1.45	4622	122	243	0,2	False	69	0.5656	0.284	0.9914	0.0086	0.3781	0.32	0.2656	0.3714	0.4374	0.3644	0.4913	0.4545	0.5755	0.6335	0.5678	0.5
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(avg10)	1.46	4622	122	243	0,2	False	69	0.5656	0.284	0.9914	0.0086	0.3781	0.3533	0.4598	0.3828	0.4316	0.3625	0.5148	0.6189	0.5729	0.6333	0.5735	0.5
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(max)	1.48	4622	122	243	0,2	False	69	0.5656	0.284	0.9914	0.0086	0.3781	1.0	0.9	0.7515	0.5371	0.4052	1.0	0.9364	0.8542	0.7218	0.6205	1.0
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(stopW+avg)	1.41	4622	122	243	0,2	False	69	0.5656	0.284	0.9914	0.0086	0.3781	0.3533	0.433	0.5247	0.4117	0.3625	0.5148	0.6067	0.6791	0.6087	0.5741	0.5
что делать, если просрочил платеж по кредиту?	InfoSearch&W2V(stopW+max)	1.59	4622	122	243	0,2	False	69	0.5656	0.284	0.9914	0.0086	0.3781	1.0	1.0	0.7718	0.5277	0.4029	1.0	1.0	0.8601	0.71	0.6204	1.0

как выплатить кредит досрочно?	InfoSearch	0.2	719	58	326	0	True	28	0.4828	0.0859	0.9875	0.0125	0.1458	0.05	0.2067	0.2237	0.2653	0.2471	0.1461	0.3822	0.4196	0.4749	0.4535	0.25
как выплатить кредит досрочно?	InfoSearch&W2V(avg)	0.37	719	58	326	0	True	28	0.4828	0.0859	0.9875	0.0125	0.1458	0.3333	0.473	0.5013	0.327	0.3161	0.5087	0.6812	0.6932	0.5346	0.5314	1.0
как выплатить кредит досрочно?	InfoSearch&W2V(avg10)	0.37	719	58	326	0	True	28	0.4828	0.0859	0.9875	0.0125	0.1458	0.4533	0.4158	0.2882	0.2882	0.2742	0.6399	0.6267	0.5116	0.5278	0.5131	1.0
как выплатить кредит досрочно?	InfoSearch&W2V(max)	0.37	719	58	326	0	True	28	0.4828	0.0859	0.9875	0.0125	0.1458	0.0667	0.1	0.0963	0.1877	0.1944	0.1696	0.2547	0.2692	0.4172	0.4249	0.3333
как выплатить кредит досрочно?	InfoSearch&W2V(stopW+avg)	0.38	719	58	326	0	True	28	0.4828	0.0859	0.9875	0.0125	0.1458	0.4533	0.5975	0.6027	0.4	0.3539	0.6399	0.7663	0.7723	0.594	0.5487	1.0
как выплатить кредит досрочно?	InfoSearch&W2V(stopW+max)	0.45	719	58	326	0	True	28	0.4828	0.0859	0.9875	0.0125	0.1458	0.13	0.1721	0.2307	0.2083	0.2276	0.2773	0.3317	0.4274	0.4166	0.4487	0.25

как выплатить кредит досрочно?	InfoSearch	0.15	460	24	326	0	False	10	0.4167	0.0307	0.9874	0.0126	0.0571	0.5433	0.3431	0.3182	0.1273	0.2651	0.6608	0.5022	0.509	0	0.4525	0.5
